z d
28.7113 1.45355
28.7413 1.45355
28.7712 1.45355
28.8012 1.45355
28.8312 1.45355
28.8611 1.45355
28.8911 1.45355
28.9211 1.45355
28.951 1.45355
28.981 1.45355
29.011 1.45355
29.041 1.45355
29.0709 1.45355
29.1009 1.45355
29.1309 1.45355
29.1608 1.45355
29.1908 1.45355
29.2208 1.45355
29.2507 1.45355
29.2807 1.45355
29.3107 1.45355
29.3407 1.45355
29.3706 1.45355
29.4006 1.42358
29.4306 1.42358
29.4605 1.42358
29.4905 1.42358
29.5205 1.42358
29.5504 1.42358
29.5804 1.42358
29.6104 1.42358
29.6404 1.42358
29.6703 1.42358
29.7003 1.42358
29.7303 1.42358
29.7602 1.42358
29.7902 1.42358
29.8202 1.42358
29.8501 1.42358
29.8801 1.42358
29.9101 1.42358
29.9401 1.42358
29.97 1.42358
